TestRunStatus,ExecutionDate,Document Key,Name,Assigned To
PASSED,2024-03-20,KCE-TSTRN-3552989,Arrived at destination floor (TTC CON) (all floors are locked),ARUN KUMAR
PASSED,2024-04-01,KCE-TSTRN-3552987,"Arrived at destination floor (one side destination door, TTC CTS)",ARUN KUMAR
PASSED,2024-04-03,KCE-TSTRN-3553005,"Arrived at destination floor (one door, TTC CTS)",ARUN KUMAR
PASSED,2024-04-01,KCE-TSTRN-3553008,"Arrived at destination floor (one side floor, TTC CTS)",ARUN KUMAR
PASSED,2024-04-01,KCE-TSTRN-3553007,"Arrived at destination floor (two side floor, TTC CTS)",ARUN KUMAR
PASSED,2024-04-03,KCE-TSTRN-3553010,"Arrived at destination floor and some floors locked in car (two side floor, TTC CTS)  ",ARUN KUMAR
PASSED,2024-03-20,KCE-TSTRN-3552980,Parameter setting,ARUN KUMAR
PASSED,2024-04-03,KCE-TSTRN-3552979,Locking of car calls manual activation for A-side (some floors locked),ARUN KUMAR
PASSED,2024-04-03,KCE-TSTRN-3552993,Locking of car calls manual activation for B-side (some floors locked),ARUN KUMAR
PASSED,2024-03-20,KCE-TSTRN-3552990,Locking of car calls manual activation (all floors locked),ARUN KUMAR
PASSED,2024-04-03,KCE-TSTRN-3552997,Locking of car calls automatic activation for B-side (some floors locked),ARUN KUMAR
PASSED,2024-03-21,KCE-TSTRN-3553002,Locking of car calls automatic activation (all floors locked),ARUN KUMAR
PASSED,2024-03-21,KCE-TSTRN-3553004,Disable IC card reader,ARUN KUMAR
PASSED,2024-03-21,KCE-TSTRN-3552984,Locking of car calls automatic activation - auxiliary COP (TTC CON),ARUN KUMAR
PASSED,2024-03-21,KCE-TSTRN-3553006,Locking of car calls automatic activation - main COP (TTC CON),ARUN KUMAR
PASSED,2024-03-21,KCE-TSTRN-3552999,Fault code 1867 shall not be activated,ARUN KUMAR
PASSED,2024-03-22,KCE-TSTRN-3552991,Fault code 1867 activated for card reader missing in car ,ARUN KUMAR
PASSED,2024-03-22,KCE-TSTRN-3552994,Fault code 1867 activated for all card reader missing in car ,ARUN KUMAR
PASSED,2024-03-22,KCE-TSTRN-3552983,Reset fault code 1867,ARUN KUMAR
PASSED,2024-03-22,KCE-TSTRN-3553003,Swipe IC card at A -side COP in TTC CTS,ARUN KUMAR
PASSED,2024-03-22,KCE-TSTRN-3553001,Swipe IC card at B -side COP in TTC CTS,ARUN KUMAR
PASSED,2024-03-22,KCE-TSTRN-3552986,Swipe IC card at A -side or B -side COP in TTC CTS,ARUN KUMAR
FAILED,2024-01-23,KCE-TSTRN-3509609,Movable stops - Car top - No person in car top,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509611,Movable stops - Car top - Person in car top - Balustrate down - TOC OFF,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509613,Movable stops - Car top - Person in car top - Balustrate down - TOC ON,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509608,Movable stops - Car top - Person in car top - Balustrate down - C8 stuck,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509602,Movable stops - Car top - Person in car top - Balustrate up - H7 ON - H6 OFF - H5 ON - TOC ON - H3 ON,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509600,Movable stops - Car top - Person in car top - Balustrate up - C8 stuck,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509598,Movable stops - Car top - Person in car top - Balustrate up - H7 OFF - H6 ON - TOC ON,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509593,Movable stops - Car top - Person in car top - Balustrate up - H7 OFF - H6 OFF,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509594,Movable stops - Car top - Person in car top - Balustrate up - H7 ON - H6 ON,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509592,Movable stops - Car top - Person in car top - Balustrate up - H7 ON - H6 OFF - H5 ON - TOC OFF,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509584,Movable stops - Car top - Person in car top - Balustrate up - H7 ON - H6 OFF - H5 ON - TOC ON - H3 OFF,Harini Sri
FAILED,2024-01-30,KCE-TSTRN-3509587,Movable stops - PIT - Person in PIT - buffers up - Inspection mode ON - H3 ON,Harini Sri
PASSED,2024-09-16,KCE-TSTRN-3574264,Movable stops - PIT - Person in PIT - buffers up - Inspection mode ON - H3 ON,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509588,Movable stops - PIT - No person in PIT,Harini Sri
PASSED,2024-09-16,KCE-TSTRN-3574265,Movable stops - PIT - No person in PIT,Harini Sri
FAILED,2024-01-23,KCE-TSTRN-3509582,Movable stops - PIT - Person in PIT - buffers down - Inspection mode OFF,Harini Sri
